sum,end,id,label
13969.82575,2013-02-05T21:45:00-08:00,2239,UBC
68.5,2013-02-05T21:45:00-08:00,321,AERL  [3]
359,2013-02-05T21:45:00-08:00,2664,Ancillary Totem Park
58.5,2013-02-05T21:45:00-08:00,324,Anthropology [3]
28.25,2013-02-05T21:45:00-08:00,325,Asian Centre  [2]
1117,2013-02-05T21:45:00-08:00,3767,Bio Sciences
171,2013-02-05T21:45:00-08:00,327,Biomed Research  [2]
299,2013-02-05T21:45:00-08:00,328,Brimacombe [1]
134.75,2013-02-05T21:45:00-08:00,345,Buchanan ABC [3]
99.75,2013-02-05T21:45:00-08:00,346,Buchanan DE [3]
51.25,2013-02-05T21:45:00-08:00,415,Buchanan Tower [P]
60,2013-02-05T21:45:00-08:00,343,CEME Labs [1]
108,2013-02-05T21:45:00-08:00,340,CEME [1]
319,2013-02-05T21:45:00-08:00,488,Central Library (Koerner)  [2]
,2013-02-05T21:45:00-08:00,3771,Centre Wing
116.125,2013-02-05T21:45:00-08:00,347,Chan Centre [3]
649,2013-02-05T21:45:00-08:00,334,Chem - Centre [1]
42.125,2013-02-05T21:45:00-08:00,336,Chem - East [1]
164.5,2013-02-05T21:45:00-08:00,335,Chem - North [1]
134.5,2013-02-05T21:45:00-08:00,337,Chem - South [1]
355.5,2013-02-05T21:45:00-08:00,329,Chem Bio [1]
453.875,2013-02-05T21:45:00-08:00,2615,Chem Physics  [1]  -  Abdul Ladha
,2013-02-05T21:45:00-08:00,330,Chem Physics [1]
295.92975,2013-02-05T21:45:00-08:00,551,CICSR  [2]
13.75,2013-02-05T21:45:00-08:00,487,CK Choi
10134.1205,2013-02-05T22:00:00-08:00,1224,Core Buildings
40.5,2013-02-05T22:00:00-08:00,552,Cunningham  [2]
,2013-02-05T21:46:00-08:00,323,David Lam [3]
131,2013-02-05T22:00:00-08:00,2631,"David Lam [3]  -  Trek Express, Cont Studies"
,2013-02-05T21:46:00-08:00,351,Earth & Ocean [3]
229.75,2013-02-05T22:00:00-08:00,2629,"Earth & Ocean [3]  -  C&CP, Binning"
86,2013-02-05T22:00:00-08:00,339,Food Nutrition [1]
366.5,2013-02-05T22:00:00-08:00,332,Forest Sciences [1]
75.5,2013-02-05T22:00:00-08:00,341,Frank Forward [1]
31.5,2013-02-05T22:00:00-08:00,350,Geography [3]
41.625,2013-02-05T22:00:00-08:00,352,GSAB [3]
26,2013-02-05T22:00:00-08:00,2915,H Resident Heating
20.875,2013-02-05T22:00:00-08:00,342,Hebb  [1]
155,2013-02-05T22:00:00-08:00,2658,Hemelesem
107.781,2013-02-05T22:00:00-08:00,372,Hennings [1]
,2013-02-05T21:46:00-08:00,322,Henry Angus [3]
323,2013-02-05T22:00:00-08:00,2630,Henry Angus [3]  -  Hut M18
139.5,2013-02-05T22:00:00-08:00,338,HR MacMillan [1]
,2013-02-05T21:46:00-08:00,2626,ICICS  [2]
195.812,2013-02-05T22:00:00-08:00,553,ICICS  [2]  -  Hugh Dempster
62.5,2013-02-05T22:00:00-08:00,353,Instructional Resource [3]
43.625,2013-02-05T22:00:00-08:00,359,Jack Bell [3]
86.5,2013-02-05T22:00:00-08:00,556,JB McDonald  [2]
92.5,2013-02-05T22:00:00-08:00,555,"Kenny  [3]   -   Pond, Botany Annex."
508,2013-02-05T22:00:00-08:00,354,Klinck [3]
30.25,2013-02-05T22:00:00-08:00,362,Koerner University Centre [3]
48.875,2013-02-05T22:00:00-08:00,355,Lasserre [3]
121.5,2013-02-05T22:00:00-08:00,319,Lib Pro (SPPH)  [2]
1841.28,2013-02-05T22:00:00-08:00,331,Life Sciences [1]
66,2013-02-05T22:00:00-08:00,356,Lwr Mall Research [2]
73.618,2013-02-05T22:00:00-08:00,518,MacLeod  [2]
275,2013-02-05T22:00:00-08:00,554,Main Library (IK Barber) [2]
79.5,2013-02-05T22:00:00-08:00,357,Math [3]
121.5,2013-02-05T22:00:00-08:00,348,MedA  DH Copp [2]
55.75,2013-02-05T22:00:00-08:00,349,MedB  Friedman [2]
28.75,2013-02-05T22:00:00-08:00,557,MedC  [2]
410,2013-02-05T22:00:00-08:00,333,Michael Smith [1]
69.75,2013-02-05T22:00:00-08:00,358,Music [3]
,2013-02-05T21:46:00-08:00,3770,North Wing
61.75,2013-02-05T22:00:00-08:00,558,Osborne-2  [2]
29.125,2013-02-05T22:00:00-08:00,529,Pulp & Paper  [2]
22,2013-02-05T22:00:00-08:00,2916,Q Resident Heating
120.125,2013-02-05T22:00:00-08:00,2657,Qexelen
97.5,2013-02-05T22:00:00-08:00,397,Scarfe [P]
373,2013-02-05T22:00:00-08:00,3769,South & Centre Wings
251.75,2013-02-05T22:00:00-08:00,559,Strangway  [2]
42.875,2013-02-05T22:00:00-08:00,361,Swing Space [3]
161.28125,2013-02-05T22:00:00-08:00,492,University Services  [2]
3212.695,2/5/2013,,
